Algorithm,Run,Seed,Efficiency,Time,Feasible
Hill Climbing,0,191664963,0.8041666666666666,0.009212732315063477,True
Hill Climbing,1,1662057957,0.8337962962962961,0.011004924774169922,True
Hill Climbing,2,1405681631,0.7937962962962961,0.007683515548706055,True
Tabu Search,2,1405681631,0.8991666666666666,4.802603721618652,True
Tabu Search,0,191664963,0.8812962962962962,4.873918294906616,True
Local Search,0,191664963,0.8812962962962962,4.909917116165161,True
Tabu Search,1,1662057957,0.8916666666666666,4.924217224121094,True
Local Search,1,1662057957,0.8916666666666666,4.946317911148071,True
Hill Climbing,3,942484272,0.7862962962962963,0.006765842437744141,True
Local Search,2,1405681631,0.9183333333333333,4.913720369338989,True
Variable Neighborhood Search,0,191664963,0.9124999999999999,5.081881999969482,True
Variable Neighborhood Search,1,1662057957,0.8812962962962962,5.206542015075684,True
Variable Neighborhood Search,2,1405681631,0.8858333333333333,5.240804195404053,True
Random Search,0,191664963,0.8858333333333333,8.431441068649292,True
Hill Climbing,4,929893137,0.8129629629629629,0.014118432998657227,True
Random Search,2,1405681631,0.8916666666666666,8.541764497756958,True
Random Search,1,1662057957,0.8708333333333333,8.613296508789062,True
Local Search,3,942484272,0.8737962962962962,4.988392353057861,True
Tabu Search,3,942484272,0.905,5.048588514328003,True
Tabu Search,4,929893137,0.8916666666666666,5.0436248779296875,True
Hill Climbing,5,1843824992,0.8012962962962962,0.007074594497680664,True
Local Search,4,929893137,0.8946296296296296,4.96952486038208,True
Variable Neighborhood Search,3,942484272,0.905,5.2371885776519775,True
Variable Neighborhood Search,4,929893137,0.9124999999999999,5.473411560058594,True
Genetic Algorithm,0,191664963,0.8783333333333333,10.739839553833008,True
Genetic Algorithm,2,1405681631,0.905,11.825807809829712,True
Hill Climbing,6,184566854,0.7862962962962963,0.0062181949615478516,True
Genetic Algorithm,1,1662057957,0.9316666666666666,11.95495343208313,True
Genetic Algorithm,3,942484272,0.9258333333333333,12.798303365707397,True
Tabu Search,5,1843824992,0.8887962962962963,5.052140474319458,True
Local Search,5,1843824992,0.8841666666666667,5.041083574295044,True
Random Search,3,942484272,0.8887962962962963,9.334565162658691,True
Hill Climbing,7,1497586438,0.8204629629629628,0.008481025695800781,True
Random Search,4,929893137,0.8724999999999998,9.34607481956482,True
Variable Neighborhood Search,5,1843824992,0.8975,5.1135945320129395,True
Local Search,6,184566854,0.8887962962962963,4.927215576171875,True
Tabu Search,6,184566854,0.8946296296296296,5.098200798034668,True
Variable Neighborhood Search,6,184566854,0.9316666666666666,5.848132371902466,True
Hill Climbing,8,432652533,0.7387962962962962,0.009934663772583008,True
Tabu Search,7,1497586438,0.9124999999999999,5.0435943603515625,True
Local Search,7,1497586438,0.8783333333333333,5.151732921600342,True
Random Search,5,1843824992,0.9124999999999999,8.472357988357544,True
Variable Neighborhood Search,7,1497586438,0.905,5.2726569175720215,True
Tabu Search,8,432652533,0.8812962962962962,4.871708154678345,True
Hill Climbing,9,202244314,0.8337962962962961,0.009652376174926758,True
Random Search,6,184566854,0.8754629629629629,8.902535200119019,True
Local Search,8,432652533,0.9183333333333333,4.914886236190796,True
Genetic Algorithm,4,929893137,0.9183333333333333,15.117689371109009,True
Genetic Algorithm,5,1843824992,0.905,11.713991165161133,True
