Algorithm,Run,Seed,Efficiency,Time,Feasible
Hill Climbing,1,1662057957,0.7837536491486709,0.20258688926696777,True
Hill Climbing,0,191664963,0.7869709417666669,0.23784589767456055,True
Hill Climbing,2,1405681631,0.8122740039541988,0.46905040740966797,True
Local Search,0,191664963,0.8542809628442746,148.47092390060425,True
Local Search,1,1662057957,0.8534698211240418,150.41201376914978,True
Local Search,2,1405681631,0.861462296121387,151.04223155975342,True
Tabu Search,1,1662057957,0.829894323049085,151.68337774276733,True
Tabu Search,0,191664963,0.832772917668751,153.11455512046814,True
Hill Climbing,3,942484272,0.7759739771712174,0.41208982467651367,True
Tabu Search,2,1405681631,0.8261615556461336,154.00309205055237,True
Variable Neighborhood Search,0,191664963,0.8473769629140301,165.21342206001282,True
Variable Neighborhood Search,1,1662057957,0.8227396263448752,169.49954104423523,True
Variable Neighborhood Search,2,1405681631,0.8417733593667035,169.88954710960388,True
Genetic Algorithm,3,942484272,0.8269703060287475,209.9889132976532,True
Hill Climbing,4,929893137,0.8086861255827705,0.6166708469390869,True
Genetic Algorithm,0,191664963,0.8498310023810566,282.42925906181335,True
Genetic Algorithm,1,1662057957,0.8554942039181758,288.0099284648895,True
Genetic Algorithm,2,1405681631,0.8622515839439541,293.4058504104614,True
Local Search,3,942484272,0.8478496506499753,152.0856580734253,True
Tabu Search,4,929893137,0.828048994505975,148.89905953407288,True
Tabu Search,3,942484272,0.8260953334884612,154.47950744628906,True
Hill Climbing,5,1843824992,0.7893326886156973,0.49060750007629395,True
Local Search,4,929893137,0.8593816859847704,153.20453691482544,True
Variable Neighborhood Search,3,942484272,0.8395100998388336,167.45476388931274,True
Variable Neighborhood Search,4,929893137,0.8307291081032965,167.94465804100037,True
Genetic Algorithm,4,929893137,0.8492162691905657,268.79029750823975,True
Hill Climbing,6,184566854,0.7814867944805716,0.37246274948120117,True
Tabu Search,5,1843824992,0.8413747054913181,148.18153953552246,True
Local Search,5,1843824992,0.8515433595384895,148.93759560585022,True
Tabu Search,6,184566854,0.821996740232671,147.88911247253418,True
Variable Neighborhood Search,5,1843824992,0.8359077270332682,161.51528143882751,True
Local Search,6,184566854,0.8571880192618829,146.24510502815247,True
Hill Climbing,7,1497586438,0.7906615988528867,0.18922829627990723,True
Variable Neighborhood Search,6,184566854,0.8419243454957741,159.47122073173523,True
Genetic Algorithm,5,1843824992,0.8487317223721444,312.68752813339233,True
Genetic Algorithm,6,184566854,0.8544313470720397,266.200989484787,True
Tabu Search,7,1497586438,0.830242453003546,149.96329474449158,True
Local Search,7,1497586438,0.8475949064964217,147.5914707183838,True
Hill Climbing,8,432652533,0.7735389707995227,0.3899052143096924,True
Variable Neighborhood Search,7,1497586438,0.8331721734454418,164.58750867843628,True
Tabu Search,8,432652533,0.8358494271981827,151.08937549591064,True
Genetic Algorithm,7,1497586438,0.8366794686194037,227.20884108543396,True
Local Search,8,432652533,0.8487170197126908,148.52097511291504,True
Genetic Algorithm,8,432652533,0.8476739670462614,237.92865300178528,True
Hill Climbing,9,202244314,0.772808581459826,0.1909162998199463,True
Variable Neighborhood Search,8,432652533,0.8342318288273375,157.80376839637756,True
Tabu Search,9,202244314,0.8282319627422442,146.1657416820526,True
Local Search,9,202244314,0.849940463827098,146.44181370735168,True
Variable Neighborhood Search,9,202244314,0.8412037297318683,164.39187455177307,True
Genetic Algorithm,9,202244314,0.8572442466043656,245.94883823394775,True
Hill Climbing,10,1130604997,0.7575172169801498,0.3421592712402344,True
Genetic Algorithm,10,1130604997,0.8452452269551837,166.24237251281738,True
Tabu Search,10,1130604997,0.8239103634260561,147.4588747024536,True
Local Search,10,1130604997,0.8475471513215019,148.13219690322876,True
Variable Neighborhood Search,10,1130604997,0.842427359296948,158.6788387298584,True
Tabu Search,11,2095133045,0.8293448912699454,147.76796436309814,True
Hill Climbing,11,2095133045,0.7827654866277702,0.24589967727661133,True
Local Search,11,2095133045,0.8530364001278503,147.19117069244385,True
Variable Neighborhood Search,11,2095133045,0.8243647175735921,164.95880246162415,True
Genetic Algorithm,11,2095133045,0.8507169132574978,290.05449986457825,True
Tabu Search,12,1580016183,0.823121846687864,147.3322582244873,True
Random Search,1,1662057957,0.7779423050594587,1205.4796650409698,True
Hill Climbing,12,1580016183,0.7953310092785202,0.3034029006958008,True
Random Search,0,191664963,0.7949654892566148,1210.827609539032,True
Random Search,2,1405681631,0.7957342376038264,1217.490291595459,True
Local Search,12,1580016183,0.8519710771131226,142.94459462165833,True
Variable Neighborhood Search,12,1580016183,0.8486311267696549,160.19287014007568,True
Genetic Algorithm,12,1580016183,0.843978393890461,273.5402846336365,True
Hill Climbing,13,1634535062,0.7866527604690484,0.4240560531616211,True
Tabu Search,13,1634535062,0.8313698759653846,147.13623142242432,True
Local Search,13,1634535062,0.8573548370220447,144.12594056129456,True
Random Search,3,942484272,0.7833107961963481,1217.5455119609833,True
Variable Neighborhood Search,13,1634535062,0.839581423516759,159.84968733787537,True
Random Search,4,929893137,0.7863353730304488,1215.9253170490265,True
Hill Climbing,14,1540770719,0.7650587117307897,0.3546922206878662,True
Genetic Algorithm,13,1634535062,0.8387540564894461,215.3928666114807,True
Tabu Search,14,1540770719,0.8333972519984424,151.61132717132568,True
Local Search,14,1540770719,0.8462916502689231,151.03823256492615,True
Genetic Algorithm,14,1540770719,0.8525871475005674,220.8037931919098,True
Random Search,5,1843824992,0.785827293497748,1216.448044538498,True
Hill Climbing,15,1688060240,0.7525202518641373,0.23375463485717773,True
Variable Neighborhood Search,14,1540770719,0.840800895082551,164.07048392295837,True
Random Search,6,184566854,0.7867859986434121,1201.8353669643402,True
Tabu Search,15,1688060240,0.8292607291998526,153.72606682777405,True
Genetic Algorithm,15,1688060240,0.8422151191361148,247.85441279411316,True
Local Search,15,1688060240,0.8516791745011442,151.51047563552856,True
Hill Climbing,16,1102145672,0.7401347074642529,0.215803861618042,True
Random Search,7,1497586438,0.7870765640584364,1214.382735490799,True
Variable Neighborhood Search,15,1688060240,0.8336184328338008,166.5809588432312,True
Tabu Search,16,1102145672,0.834830336710748,148.62563347816467,True
Local Search,16,1102145672,0.8535696065999097,151.0425205230713,True
Variable Neighborhood Search,16,1102145672,0.8268064815075097,169.88906717300415,True
Hill Climbing,17,275121930,0.7318356239419551,0.2392721176147461,True
Random Search,8,432652533,0.7871448587087115,1210.9880814552307,True
Genetic Algorithm,16,1102145672,0.8580195670631277,278.53580951690674,True
Tabu Search,17,275121930,0.8246730146757203,150.78456234931946,True
Local Search,17,275121930,0.8457229413804089,151.09528946876526,True
Variable Neighborhood Search,17,275121930,0.8306045503218122,161.1686818599701,True
Hill Climbing,18,1803345590,0.7851355722500203,0.3843097686767578,True
Random Search,9,202244314,0.7820458664411586,1197.7129395008087,True
Genetic Algorithm,17,275121930,0.8331889843862247,210.18944764137268,True
Tabu Search,18,1803345590,0.8321285188777072,153.22847270965576,True
Local Search,18,1803345590,0.8454354049930349,153.41357970237732,True
Variable Neighborhood Search,18,1803345590,0.837221540935015,169.18888759613037,True
Hill Climbing,19,967196436,0.795320035153639,0.3983473777770996,True
Local Search,19,967196436,0.856735002311301,146.7212061882019,True
Tabu Search,19,967196436,0.8258812290603417,152.462988615036,True
Random Search,10,1130604997,0.7942594199831753,1214.2673301696777,True
Genetic Algorithm,18,1803345590,0.8527286658847807,297.076961517334,True
Genetic Algorithm,19,967196436,0.8460974996824564,259.63891077041626,True
Hill Climbing,20,1074497555,0.7784881807406159,0.1986677646636963,True
Variable Neighborhood Search,19,967196436,0.8350803372313113,164.24493265151978,True
Random Search,11,2095133045,0.7808516552090686,1215.7010884284973,True
Tabu Search,20,1074497555,0.828872203534,148.1264684200287,True
Local Search,20,1074497555,0.8558625317283326,147.1598722934723,True
Variable Neighborhood Search,20,1074497555,0.8403346818525391,160.92833161354065,True
Hill Climbing,21,796282693,0.7419219443975937,0.1995558738708496,True
